ID	Spectral_Peak	Torsion_1	Torsion_4	Torsion_5	Torsion_7	Torsion_13	Torsion_14	Torsion_15	Angle_3	RMSF_AUC_RET_LYS	RMSF_ring	DisulfideBond
1_rh1_1	500.6	-60.9598	186.859	153.964	293.963	126.601	75.3438	1.10031	129.073	1.24595	0.886	1
2_rh1_2	495.7	-52.4831	180.894	189.019	296.428	136.31	71.6234	1.1006	129.015	1.87695	1.52945	1
3_rh1_exo	496.8	-63.0159	189.775	180.485	184.873	123.447	68.9062	3.05988	132.581	1.31665	0.8852	1
4_rh1_O	505	-63.6734	185.271	159.231	293.491	123.347	77.7284	0.350307	127.864	0.93305	0.6146	1
5_rh1_H	496	-66.6901	181.889	195.834	291.689	120.95	77.9514	0.477217	126.695	1.2037	0.7829	1
6_rh1_P	490	-63.0721	183.683	200.211	289.055	123.657	75.3395	0.144042	126.968	1.37995	1.0357	1
7_rh1_T	484	-57.3042	177.449	184.013	290.922	131.526	67.1853	-0.646526	129.332	1.87465	1.327	1
12_rh1_1A	457	-67.293	179.894	142.463	290.584	119.277	58.1844	1.42827	127.813	1.1402	0.79805	0
14_rh1_1B	455	-74.2903	173.789	134.381	291.767	110.02	68.5144	2.19815	130.769	1.86845	1.48045	0
15_rh1_2B	455	-62.2246	178.33	152.608	290.638	127.491	67.7868	4.68869	134.194	1.51675	1.17765	0
16_rh1_C	460	-74.6144	170.882	164.371	297.734	107.575	58.7906	0.34452	126.837	0.87175	0.61815	0
17_rh1_1D	447	-67.2963	177.658	157.653	292.681	119.764	61.0377	2.20606	130.646	1.0112	0.7476	0
18_rh1_2D	449	-69.7585	187.37	151.86	74.864	113.782	61.2411	0.021314	127.901	0.99035	0.62245	0
19_rh1_Fb	449	-74.3368	175.505	150.914	291.893	107.512	61.8177	1.19674	129.736	1.52295	1.1163	0
20_rh1_Lc	504	-61.547	189.328	254.458	75.5514	127.494	67.0465	4.07625	133.884	0.9367	0.6849	1
